35446,AL,BUHL,87.718886,33.249448
35447,AL,CARROLLTON,88.132122,33.248506
35452,AL,COKER,87.636528,33.252612
35453,AL,COTTONDALE,87.387051,33.176667
35456,AL,DUNCANVILLE,87.494977,33.082815
35457,AL,ECHOLA,87.807202,33.316559
35458,AL,ELROD,87.801429,33.343678
35459,AL,EMELLE,88.305747,32.754963
35460,AL,EPES,88.161443,32.763371
35461,AL,ETHELSVILLE,88.221987,33.386816
35462,AL,EUTAW,87.930297,32.888871
35463,AL,FOSTERS,87.735688,33.135859
35464,AL,GAINESVILLE,88.271558,32.908364
35466,AL,GORDO,87.900504,33.346917
35469,AL,KNOXVILLE,87.791855,32.982423
35470,AL,COATOPA,88.173592,32.588509
35474,AL,CYPRESS,87.615134,32.978853
35476,AL,NORTHPORT,87.591441,33.283425
35480,AL,RALPH,87.744984,33.062868
35481,AL,REFORM,88.020277,33.395945
35490,AL,VANCE,87.257362,33.17498
35501,AL,JASPER,87.249144,33.871672
35540,AL,ADDISON,87.194766,34.205571
35541,AL,ARLEY,87.182761,34.063234
35542,AL,BANKSTON,87.68965,33.70083
35543,AL,BEAR CREEK,87.686083,34.213469
35544,AL,BEAVERTON,88.01567,33.942877
35546,AL,BERRY,87.622563,33.694485
35548,AL,BRILLIANT,87.756315,34.037702
35549,AL,CARBON HILL,87.540328,33.909252
35550,AL,CORDOVA,87.18406,33.768033
35552,AL,DETROIT,88.16063,34.010874
35553,AL,DOUBLE SPRINGS,87.397431,34.138682
35554,AL,ELDRIDGE,87.619397,33.931546
35555,AL,FAYETTE,87.834647,33.697397
35563,AL,GUIN,87.90238,33.967624
35564,AL,HACKLEBURG,87.860762,34.267803
35565,AL,HALEYVILLE,87.593811,34.231423
35570,AL,HAMILTON,88.008521,34.153413
35571,AL,HODGES,87.959023,34.341664
35572,AL,HOUSTON,87.26183,34.118042
35574,AL,KENNEDY,88.05172,33.574964
35575,AL,LYNN,87.539814,34.052984
35576,AL,MILLPORT,88.200003,33.54013
35578,AL,NAUVOO,87.432449,33.929859
35579,AL,OAKMAN,87.368574,33.700174
35580,AL,PARRISH,87.265773,33.721307
35581,AL,PHIL CAMPBELL,87.715431,34.347018
35582,AL,RED BAY,88.112914,34.451259
35585,AL,SPRUCE PINE,87.712149,34.384796
35586,AL,SULLIGENT,88.150774,33.8549
35587,AL,TOWNLEY,87.437248,33.84702
35592,AL,VERNON,88.097919,33.761285
35593,AL,VINA,88.077422,34.37116
35594,AL,WINFIELD,87.79716,33.930256
35601,AL,DECATUR,86.98868,34.589599
35603,AL,DECATUR,87.000389,34.548417
35610,AL,ANDERSON,87.272327,34.951777
35611,AL,ATHENS,86.970733,34.803604
35616,AL,CHEROKEE,87.972445,34.744188
35618,AL,COURTLAND,87.314255,34.671866
35619,AL,DANVILLE,87.053187,34.452189
35620,AL,ELKMONT,86.910452,34.915241
35621,AL,EVA,86.704427,34.347778
35622,AL,FALKVILLE,86.913086,34.347653
35630,AL,FLORENCE,87.655985,34.830547
35633,AL,FLORENCE,87.739778,34.882471
35640,AL,HARTSELLE,86.924235,34.448206
35643,AL,HILLSBORO,87.180379,34.64763
35645,AL,KILLEN,87.508185,34.901632
35646,AL,LEIGHTON,87.522133,34.710982
35647,AL,LESTER,87.143396,34.918364
35648,AL,LEXINGTON,87.393519,34.955924
35650,AL,MOULTON,87.222385,34.505836
35651,AL,MOUNT HOPE,87.451453,34.462969
35652,AL,ROGERSVILLE,87.323671,34.849544
35653,AL,RUSSELLVILLE,87.725726,34.506568
35660,AL,SHEFFIELD,87.697057,34.757829
35661,AL,MUSCLE SHOALS,87.630443,34.756136
35670,AL,SOMERVILLE,86.800931,34.499548
35671,AL,TANNER,86.989152,34.713037
35672,AL,TOWN CREEK,87.426195,34.649138
35673,AL,TRINITY,87.09127,34.591771
35674,AL,TUSCUMBIA,87.683259,34.687432
35677,AL,WATERLOO,87.962412,34.93568
35739,AL,ARDMORE,86.834612,34.980447
35740,AL,BRIDGEPORT,85.727681,34.944638
35741,AL,BROWNSBORO,86.468703,34.716733
35744,AL,DUTTON,85.906729,34.604558
35745,AL,ESTILLFORK,86.171571,34.913017
35746,AL,FACKLER,85.984648,34.82589
35747,AL,GRANT,86.259041,34.495902
35748,AL,GURLEY,86.394028,34.713964
35749,AL,HARVEST,86.749929,34.82732
